Index,Modification,Speaker,Start Time,End Time,Script
11,수정결과,B,92835,100769,"되겠습니까? 다시 한번 연습하겠습니다. 하나 둘, 셋 넷 다섯 여섯"
12,인식결과,2,100769,110029,일곱 여덟 됐죠 예 그러면은 농민가에 맞춰서 한번 해보도록 하겠습니다. 음악 주세요.
12,수정결과,B,100769,110029,일곱 여덟 됐죠 예 그러면은 농민가에 맞춰서 한번 해보도록 하겠습니다. 음악 주세요.
13,인식결과,1,194530,202169,네 한국 말하기 아쉬우시죠? 농민이 최고 이어서 한 번 더 하도록 하겠습니다. 몸을 좀 풀어야 되거든요.
13,수정결과,A,194530,202169,네 한국 말하기 아쉬우시죠? 농민이 최고 이어서 한 번 더 하도록 하겠습니다. 몸을 좀 풀어야 되거든요.
14,인식결과,1,202169,212350,네 지금 3일 동안 단식하시고 단식하시고 오늘 투정을 하고 아침에 미운 먹고 지금 이렇게 율동하고 계십니다.
14,수정결과,A,202169,212350,네 지금 3일 동안 단식하시고 단식하시고 오늘 투정을 하고 아침에 미운 먹고 지금 이렇게 율동하고 계십니다.
15,인식결과,1,363119,376030,네 우리 한정준 부회장님 어저께 단식하시면서 마지막 행진을 제주도 말로 제주도에서 올라오셨거든요. 뭐라고 하셨죠? 우리 대회에 참여하신 분들한테 큰소리로
15,수정결과,A,363119,376030,네 우리 한경례 부회장님 어저께 단식하시면서 마지막 행진을 제주도 말로 제주도에서 올라오셨거든요. 뭐라고 하셨죠? 우리 대회에 참여하신 분들한테 큰소리로
16,인식결과,1,376450,383950,네 복삭 속았수다. 폭삭이 아니고 복삭이라고 하더라고요. 제주도 원 말로는
16,수정결과,A,376450,383950,네 복삭 속았수다. 폭삭이 아니고 복삭이라고 하더라고요. 제주도 원 말로는
17,인식결과,1,383950,392239,네 지금 결의대회를 시작하려고 이렇게 좀 세브 드렸습니다. 오늘 전농 사무총장님 모시려고 이렇게 춤도 추고 노래도 부르고
17,수정결과,A,383950,392239,네 지금 결의대회를 시작하려고 이렇게 좀 세브 드렸습니다. 오늘 전농 사무총장님 모시려고 이렇게 춤도 추고 노래도 부르고
18,인식결과,1,392239,398640,그랬는데요. 힘차게 결의대회 이어가도록 하겠습니다. 감사합니다.
18,수정결과,A,392239,398640,그랬는데요. 힘차게 결의대회 이어가도록 하겠습니다. 감사합니다.
19,인식결과,5,406610,416565,사랑하는 농민 여러분 그리고 지난 12월 21일부터 22일까지 이 자리 남태령에서 함께해 주신
19,수정결과,E,406610,416565,사랑하는 농민 여러분 그리고 지난 12월 21일부터 22일까지 이 자리 남태령에서 함께해 주신
20,인식결과,5,416565,422580,우리 든든한 남태령 시민 여러분 반갑습니다.
20,수정결과,E,416565,422580,우리 든든한 남태령 시민 여러분 반갑습니다.
21,인식결과,5,426190,436225,바람이 참 좋습니다. 농민들에게는 농사하기 좋은 날이고 우리 윤석열 즉각 파면을 바라고
21,수정결과,E,426190,436225,바람이 참 좋습니다. 농민들에게는 농사하기 좋은 날이고 우리 윤석열 즉각 파면을 바라고
22,인식결과,5,436225,443289,새로운 나라를 만들고 싶은 우리 주권자 우리 우리들은
22,수정결과,E,436225,443289,새로운 나라를 만들고 싶은 우리 주권자 우리 우리들은
23,인식결과,5,443289,452030,투쟁 또한 좋은 날인 것 같습니다. 그렇지 않습니까? 아직 이 자리가 매우 어수선합니다.
23,수정결과,E,443289,452030,투쟁 또한 좋은 날인 것 같습니다. 그렇지 않습니까? 아직 이 자리가 매우 어수선합니다.
24,인식결과,5,452130,462030,수많은 농민들의 트레타는 저 남태령 고개 전후로 해가지고 경기도까지 넘어서 지금 줄을 길게 서 있습니다.
24,수정결과,E,452130,462030,수많은 농민들의 트레타는 저 남태령 고개 전후로 해가지고 경기도까지 넘어서 지금 줄을 길게 서 있습니다.
25,인식결과,5,462030,467710,약간의 시간이 필요할 것 같고 우리 트랙터를 실은 우리 차량들이
25,수정결과,E,462030,467710,약간의 시간이 필요할 것 같고 우리 트랙터를 실은 우리 차량들이
26,인식결과,5,467710,477559,우리 동지들과 함께 만나는 시간은 약간 시간이 필요할 것 같습니다. 기다려 주셔야 합니다. 맞죠? 예 고맙습니다.
26,수정결과,E,467710,477559,우리 동지들과 함께 만나는 시간은 약간 시간이 필요할 것 같습니다. 기다려 주셔야 합니다. 맞죠? 예 고맙습니다.
27,인식결과,5,477559,486640,제가 일단 그래도 결의대회인데 준비가 잘 안 되는 거 아시겠습니까? 보시다시피 그럼에도 불구하고
27,수정결과,E,477559,486640,제가 일단 그래도 결의대회인데 준비가 잘 안 되는 거 아시겠습니까? 보시다시피 그럼에도 불구하고
28,인식결과,5,487480,497145,작년 12월 21일 남태령에 이 시간에 처음 왔을 때는 제 앞에 10여 분의 시민이 계셨습니다. 15분 정도
28,수정결과,E,487480,497145,작년 12월 21일 남태령에 이 시간에 처음 왔을 때는 제 앞에 10여 분의 시민이 계셨습니다. 15분 정도
29,인식결과,5,497145,506275,그곳으로 출발했는데 오늘은 앞에 국회의원분들도 오시고 소망은 시민들과 함께 우리 농민들이
29,수정결과,E,497145,506275,그곳으로 출발했는데 오늘은 앞에 국회의원분들도 오시고 소망은 시민들과 함께 우리 농민들이
30,인식결과,5,506275,510260,윤석열 즉각 파면을 촉구하는
30,수정결과,E,506275,510260,윤석열 즉각 파면을 촉구하는
31,인식결과,5,510610,517710,남태령 두 번째 투쟁을 지금부터 시작하고자 합니다. 고 한번 쳐보겠습니다.
31,수정결과,E,510610,517710,남태령 두 번째 투쟁을 지금부터 시작하고자 합니다. 고 한번 쳐보겠습니다.
32,인식결과,5,521159,531450,내일 안식일 윤석열을 즉각 파면하라.
32,수정결과,E,521159,531450,내란 수괴 윤석열을 즉각 파면하라.
33,인식결과,5,533160,539770,경찰은 집회 행진의 자유를 보장하라.
33,수정결과,E,533160,539770,경찰은 집회 행진의 자유를 보장하라.
34,인식결과,5,543090,548900,예 우리 견이대회 하려고 하는데 노래는 뭘로 했으면 좋겠습니까?
34,수정결과,E,543090,548900,예 우리 결의 대회 하려고 하는데 노래는 뭘로 했으면 좋겠습니까?
35,인식결과,5,549380,557870,오늘만큼은 농민가를 할 수 있도록 이해해 주시기 바랍니다. 다 함께 반주에 맞춰서 농민가 부르겠습니다.
35,수정결과,E,549380,557870,오늘만큼은 농민가를 할 수 있도록 이해해 주시기 바랍니다. 다 함께 반주에 맞춰서 농민가 부르겠습니다.
36,인식결과,3,643149,646515,음식이 윤석열을
36,수정결과,C,643149,646515,내란 수괴 윤석열을 즉각 파면하라
37,인식결과,5,646515,656515,시민들이 계속 몰려들고 오십니다. 그렇죠
37,수정결과,E,646515,656515,시민들이 계속 몰려들고 오십니다. 그렇죠
38,인식결과,5,656515,665940,예 바로 그럼에도 불구하고 최소한의 집회의 품격을 갖춰서 발언 순서 받도록 하겠습니다.
38,수정결과,E,656515,665940,예 바로 그럼에도 불구하고 최소한의 집회의 품격을 갖춰서 발언 순서 받도록 하겠습니다.
39,인식결과,5,666190,672435,우리 전봉준 투쟁단 총대장이시고 엊그저께 단식 마치시고
39,수정결과,E,666190,672435,우리 전봉준 투쟁단 총대장이시고 엊그저께 단식 마치시고
40,인식결과,5,672435,680900,어제 퇴원하셔서 오늘 이 자리에 나오셨습니다. 전국 농민의 청년맹 허 회장님 모시겠습니다.
40,수정결과,E,672435,680900,어제 퇴원하셔서 오늘 이 자리에 나오셨습니다. 전국농민회총연맹 허 회장님 모시겠습니다.
41,인식결과,2,685740,695920,안녕하세요. 전봉준 투쟁단 총대장 하원호입니다. 투쟁으로 인사드리겠습니다. 투쟁 오늘 여기에서
41,수정결과,B,685740,695920,안녕하세요. 전봉준 투쟁단 총대장 하원오입니다. 투쟁으로 인사드리겠습니다. 투쟁 오늘 여기에서
42,인식결과,2,695920,704580,집행 기억이 전혀 없었습니다. 그래서 대회사도 준비도 안 해 왔는데 아무튼 대회를 해야 될 것 같습니다.
42,수정결과,B,695920,704580,집회 계획이 전혀 없었습니다. 그래서 대회사도 준비도 안 해 왔는데 아무튼 대회를 해야 될 것 같습니다.
43,인식결과,2,705260,714610,12월 21일 날 독립날 긴긴 밤을 우리는 기억하고 있습니다. 그렇지 않습니까? 그때도
43,수정결과,B,705260,714610,12월 21일 날 동지날 긴긴 밤을 우리는 기억하고 있습니다. 그렇지 않습니까? 그때도
44,인식결과,2,714610,724595,우리는 이곳 남트랙에서 밤을 샐 생각이 전혀 없었습니다. 오늘도 똑같은 현상이 또 벌어질까 싶어 겁이 나는데요.
44,수정결과,B,714610,724595,우리는 이곳 남태령에서 밤을 샐 생각이 전혀 없었습니다. 오늘도 똑같은 현상이 또 벌어질까 싶어 겁이 나는데요.
45,인식결과,2,724595,734355,그러지는 않겠죠 7시에 광화문에서 집회가 있는 걸 다 알고 계시지요? 그 시간까지
45,수정결과,B,724595,734355,그러지는 않겠죠 7시에 광화문에서 집회가 있는 걸 다 알고 계시지요? 그 시간까지
46,인식결과,2,734355,743710,경찰들은 반드시 트랙터가 집회에 참석할 수 있도록 길을 열기를 바랍니다. 그렇지 않습니까?
46,수정결과,B,734355,743710,경찰들은 반드시 트랙터가 집회에 참석할 수 있도록 길을 열기를 바랍니다. 그렇지 않습니까?
47,인식결과,2,744060,751940,그런데 우리가 헌재를 보고 윤석열 빠르게 파면하라고 이야기를 해도 안 하더라고요. 아마 경찰도 말을 안 들을
47,수정결과,B,744060,751940,그런데 우리가 헌재를 보고 윤석열 빠르게 파면하라고 이야기를 해도 안 하더라고요. 아마 경찰도 말을 안 들을
48,인식결과,2,752450,761710,안 들지는 않았겠죠. 길은 열어주겠죠? 예 믿고 가보도록 하겠습니다. 지금 남쪽에서는
48,수정결과,B,752450,761710,안 들지는 않았겠죠. 길은 열어주겠죠? 예 믿고 가보도록 하겠습니다. 지금 남쪽에서는
49,인식결과,2,762030,772194,산불 때문에 많은 피해가 일어나고 있습니다. 특히 농가들이 어저께 TV 보니까 트랙터가 불에 타고 화물차도 불에 타고
49,수정결과,B,762030,772194,산불 때문에 많은 피해가 일어나고 있습니다. 특히 농가들이 어저께 TV 보니까 트랙터가 불에 타고 화물차도 불에 타고
50,인식결과,2,772194,781835,사람도 대피하고 하고 있습니다. 이렇게 기후위기들이 닥칠 때마다 가장 맨 앞에서 피해를 보는 게 누굽니까?
50,수정결과,B,772194,781835,사람도 대피하고 하고 있습니다. 이렇게 기후위기들이 닥칠 때마다 가장 맨 앞에서 피해를 보는 게 누굽니까?
51,인식결과,2,781835,788350,농민들 아닙니까? 그렇죠 그렇습니다. 지금
51,수정결과,B,781835,788350,농민들 아닙니까? 그렇죠 그렇습니다. 지금
52,인식결과,2,788770,797285,3월 중순이 넘어가면 농가들은 바쁩니다. 파종할 준비를 해야 되고 오늘
52,수정결과,B,788770,797285,3월 중순이 넘어가면 농가들은 바쁩니다. 파종할 준비를 해야 되고 오늘
53,인식결과,2,797285,806970,행진해 온 트랙터들은 논밭을 갈아야 됩니다. 그럼에도 트랙터가 이곳 서울로 온 거는
53,수정결과,B,797285,806970,행진해 온 트랙터들은 논밭을 갈아야 됩니다. 그럼에도 트랙터가 이곳 서울로 온 거는
54,인식결과,2,807160,815870,아무리 바쁜 농사보다도 더 바쁜 게 뭡니까? 윤석열 파면부터 해야 되겠죠.
54,수정결과,B,807160,815870,아무리 바쁜 농사보다도 더 바쁜 게 뭡니까? 윤석열 파면부터 해야 되겠죠.
55,인식결과,2,815870,824595,정치 농사부터 제대로 되지 않으면 아무리 농민들이 농사 잘 지어도 농사는 안 됩니다.
55,수정결과,B,815870,824595,정치 농사부터 제대로 되지 않으면 아무리 농민들이 농사 잘 지어도 농사는 안 됩니다.
56,인식결과,2,824595,833350,한덕수가 어저께 풀려나서 다시 대통령 권한대행을 한답니다. 윤석열 때부터
56,수정결과,B,824595,833350,한덕수가 어저께 풀려나서 다시 대통령 권한대행을 한답니다. 윤석열 때부터
57,인식결과,2,833350,841950,노원 문제 거부권 행사하던 그 거부권을 한덕수도 역시 거부를 했습니다. 남태령이 오기 전날
57,수정결과,B,833350,841950,농업 문제 거부권 행사하던 그 거부권을 한덕수도 역시 거부를 했습니다. 남태령이 오기 전날
58,인식결과,2,841950,850755,지난 12월 16일 입니까? 7일 입니까? 하여튼 그때도 한덕수가 양국 관리법부터
58,수정결과,B,841950,850755,지난 12월 16일 입니까? 7일 입니까? 하여튼 그때도 한덕수가 양곡 관리법부터
59,인식결과,2,850755,860100,거부권 행사하는 바람에 저희들이 세종에 있는 농식품부에서 항의 집회를 하고 넘어오던 길에 이곳에서 막혔습니다.
59,수정결과,B,850755,860100,거부권 행사하는 바람에 저희들이 세종에 있는 농식품부에서 항의 집회를 하고 넘어오던 길에 이곳에서 막혔습니다.
60,인식결과,2,862220,872740,나라가 어렵고 힘들 때는 빠르게 정부가 안정이 돼야 됩니다. 윤석열 파면이 가장 시급하지 않습니까?
60,수정결과,B,862220,872740,나라가 어렵고 힘들 때는 빠르게 정부가 안정이 돼야 됩니다. 윤석열 파면이 가장 시급하지 않습니까?
61,인식결과,2,872770,882515,무슨 농사 무슨 농사도 정치 농사부터 제대로 돼야 우리 국민들 살 거 아닙니까? 그렇죠 빠르게
61,수정결과,B,872770,882515,무슨 농사 무슨 농사도 정치 농사부터 제대로 돼야 우리 국민들 살 거 아닙니까? 그렇죠 빠르게
62,인식결과,2,882515,891480,헌재는 윤석열부터 파면해 주시기 바랍니다. 언제까지 이리 재고 저리 재고 할 시간 없습니다.
62,수정결과,B,882515,891480,헌재는 윤석열부터 파면해 주시기 바랍니다. 언제까지 이리 재고 저리 재고 할 시간 없습니다.
63,인식결과,2,891480,902420,농사도 때가 있고 시간이 있듯이 우리나라 국민들이 기다리는 때도 이미 지났습니다. 그렇지 않습니까? 금년은
63,수정결과,B,891480,902420,농사도 때가 있고 시간이 있듯이 우리나라 국민들이 기다리는 때도 이미 지났습니다. 그렇지 않습니까? 금년은
64,인식결과,2,902680,910260,국민의 명령입니다. 주권자의 맹령입니다. 빠르게 윤석열 파면해야 되겠죠
64,수정결과,B,902680,910260,국민의 명령입니다. 주권자의 명령입니다. 빠르게 윤석열 파면해야 되겠죠
65,인식결과,2,910450,917870,여러분 빠르게 정권 교체하고 오늘도 아마 제가 이 아침 일찍부터 왔는데요.
65,수정결과,B,910450,917870,여러분 빠르게 정권 교체하고 오늘도 아마 제가 이 아침 일찍부터 왔는데요.
66,인식결과,2,917870,927885,극우 유튜버들이 장난 아니게 도로를 장악하고 있었습니다. 지금 제가 듣기로는 트랙터가 한 60대 70대 이상이
66,수정결과,B,917870,927885,극우 유튜버들이 장난 아니게 도로를 장악하고 있었습니다. 지금 제가 듣기로는 트랙터가 한 60대 70대 이상이
67,인식결과,2,927885,936210,이 고개 마루에 있습니다. 그 트랙터들이 다 행진할 수 있게끔 해야 됩니다. 지난번
67,수정결과,B,927885,936210,이 고개 마루에 있습니다. 그 트랙터들이 다 행진할 수 있게끔 해야 됩니다. 지난번
68,인식결과,2,936210,944225,남태령 투쟁으로 경찰에서 조사를 받았는데 누구 계획이냐고 물어보길래 우리는 그냥 갈 길을 가던 계획이었어요.
68,수정결과,B,936210,944225,남태령 투쟁으로 경찰에서 조사를 받았는데 누구 계획이냐고 물어보길래 우리는 그냥 갈 길을 가던 계획이었어요.
69,인식결과,2,944225,952420,길을 막은 것은 경찰의 계획이었습니다. 그렇지 않습니까? 오늘도 여기에서 집회할 생각 전혀 없었어요.
69,수정결과,B,944225,952420,길을 막은 것은 경찰의 계획이었습니다. 그렇지 않습니까? 오늘도 여기에서 집회할 생각 전혀 없었어요.
70,인식결과,2,952840,959645,그런데 이게 누구의 계획입니까? 그렇죠 또 경찰이 이런 계획을 세웁니다.
70,수정결과,B,952840,959645,그런데 이게 누구의 계획입니까? 그렇죠 또 경찰이 이런 계획을 세웁니다.
71,인식결과,2,959645,966115,그래 놓고 시민 불편을 농민에게 또 증가시킵니다. 있을 수 없는 일이지요.
71,수정결과,B,959645,966115,그래 놓고 시민 불편을 농민에게 또 증가시킵니다. 있을 수 없는 일이지요.
72,인식결과,2,966115,971630,빠르게 윤석열 파면하고 한덕수도 쫓아내고
72,수정결과,B,966115,971630,빠르게 윤석열 파면하고 한덕수도 쫓아내고
73,인식결과,2,971630,981319,제대로 된 정치 농사 지어서 농민들 국민들이 사는 나는 세상 될 때까지 전봉준 투쟁나는
73,수정결과,B,971630,981319,제대로 된 정치 농사 지어서 농민들 국민들이 사는 나는 세상 될 때까지 전봉준 투쟁단은
74,인식결과,2,981319,988770,투쟁하겠습니다. 함께 투쟁해 주십시오. 투쟁 없습니다. 투쟁
74,수정결과,B,981319,988770,투쟁하겠습니다. 함께 투쟁해 주십시오. 투쟁 없습니다. 투쟁
75,인식결과,5,997000,1007305,오늘 이 상황은 말이죠. 농민들의 트랙터 행진을 통해서
75,수정결과,E,997000,1007305,오늘 이 상황은 말이죠. 농민들의 트랙터 행진을 통해서
76,인식결과,5,1007305,1017515,광화문으로 평화롭게 행진을 하고 윤석열의 신속한 파면을 촉구하기 위한 우리 농민들과 시민들의
76,수정결과,E,1007305,1017515,광화문으로 평화롭게 행진을 하고 윤석열의 신속한 파면을 촉구하기 위한 우리 농민들과 시민들의
77,인식결과,5,1017515,1026260,출정식 같은 자리입니다. 그런데 아시다시피 법원에서는 경찰에서는
77,수정결과,E,1017515,1026260,출정식 같은 자리입니다. 그런데 아시다시피 법원에서는 경찰에서는
78,인식결과,5,1026609,1032464,트랙터도 안 되고 트랙터를 실은 트럭도 안 되고
78,수정결과,E,1026609,1032464,트랙터도 안 되고 트랙터를 실은 트럭도 안 되고
79,인식결과,5,1032464,1041804,아무것도 없는 1톤 차량만 20대 미만으로 행진해라. 그리고 나머지는 걸어가라.
79,수정결과,E,1032464,1041804,아무것도 없는 1톤 차량만 20대 미만으로 행진해라. 그리고 나머지는 걸어가라.
80,인식결과,5,1041804,1047130,15kg를 걸어가라 이렇게 제한 통고를 내렸습니다.
80,수정결과,E,1041804,1047130,15kg를 걸어가라 이렇게 제한 통고를 내렸습니다.
81,인식결과,5,1047970,1054355,오늘 아침 일찍에는 남태령으로 새벽부터 더 일찍 왔던 우리 농민들의 차량을
81,수정결과,E,1047970,1054355,오늘 아침 일찍에는 남태령으로 새벽부터 더 일찍 왔던 우리 농민들의 차량을
82,인식결과,5,1054355,1062100,과천 세곡동 인근에서 차량을 막아 세웠습니다. 경찰은
82,수정결과,E,1054355,1062100,과천 세곡동 인근에서 차량을 막아 세웠습니다. 경찰은
83,인식결과,5,1062510,1070245,합법적인 집회를 하려고 하는 집회 행위 자체도 진입을 못하게 하고
83,수정결과,E,1062510,1070245,합법적인 집회를 하려고 하는 집회 행위 자체도 진입을 못하게 하고
84,인식결과,5,1070245,1079995,진입을 못하게 하면서 집회를 방해하고 위법적이고 탈법적인 행위를 저지르고 있고 지금도 어떻게 하라
84,수정결과,E,1070245,1079995,진입을 못하게 하면서 집회를 방해하고 위법적이고 탈법적인 행위를 저지르고 있고 지금도 어떻게 하라
85,인식결과,5,1079995,1089825,말도 없어요. 말도 없습니다. 그래서 우리가 이 자리에서 집회가 끝나고 나서 행진을 해서 갈 수 있을지
85,수정결과,E,1079995,1089825,말도 없어요. 말도 없습니다. 그래서 우리가 이 자리에서 집회가 끝나고 나서 행진을 해서 갈 수 있을지
86,인식결과,5,1089825,1099560,없을지 저희도 잘 모르겠습니다. 그렇게 유동적인 상황임을 충분히 이해할 수 있겠죠 예예. 감사합니다.
86,수정결과,E,1089825,1099560,없을지 저희도 잘 모르겠습니다. 그렇게 유동적인 상황임을 충분히 이해할 수 있겠죠 예예. 감사합니다.
87,인식결과,5,1099560,1108870,다음 발언 한 분 더 모시겠습니다. 예 저하고 눈 마주쳤는데요. 예예
87,수정결과,E,1099560,1108870,다음 발언 한 분 더 모시겠습니다. 예 저하고 눈 마주쳤는데요. 예예
88,인식결과,5,1108870,1119480,우리 전북전 투쟁단 함께 이끄시는 전국 여성 농민의 청년회 정영기 회장님 힘찬 박수로 모시겠습니다.
88,수정결과,E,1108870,1119480,우리 전봉준 투쟁단 함께 이끄시는 전국 여성 농민회 청년회 정영기 회장님 힘찬 박수로 모시겠습니다.
89,인식결과,5,1128290,1135320,우리 여성 회장님께서도 단식 끝난 지 얼마 안 돼가지고 좀 이해 부탁드리겠습니다.
89,수정결과,E,1128290,1135320,우리 여성 회장님께서도 단식 끝난 지 얼마 안 돼가지고 좀 이해 부탁드리겠습니다.
90,인식결과,6,1142639,1151000,많이들 오셨네요. 반갑습니다.
90,수정결과,F,1142639,1151000,많이들 오셨네요. 반갑습니다.
91,인식결과,6,1151000,1158740,동지 여러분 반갑습니다. 투쟁으로 인사드리겠습니다. 투쟁
91,수정결과,F,1151000,1158740,동지 여러분 반갑습니다. 투쟁으로 인사드리겠습니다. 투쟁
92,인식결과,6,1158930,1169270,예견된 시간이 아니어서요. 제가 보안이 3분 안 지켰다고 3분 지나면 나아갈 때가 됐는데
92,수정결과,F,1158930,1169270,예견된 시간이 아니어서요. 제가 보아하니 3분 안 지켰다고 3분 지나면 나아갈 때가 됐는데
93,인식결과,6,1169270,1171789,이거 올리시지는 못할 것 같아서요.
93,수정결과,F,1169270,1171789,이거 올리시지는 못할 것 같아서요.
94,인식결과,6,1171789,1181959,아마 시간을 끌어야 될 것 같습니다. 그리고 오늘 무슨 발언을 좀 준비해 주세요 하고 사전에 요구도 없고 저를 이렇게 쳐다보고 눈이 동시에 딱 마주쳤더니
94,수정결과,F,1171789,1181959,아마 시간을 끌어야 될 것 같습니다. 그리고 오늘 무슨 발언을 좀 준비해 주세요 하고 사전에 요구도 없고 저를 이렇게 쳐다보고 눈이 동시에 딱 마주쳤더니
95,인식결과,6,1181959,1191125,저하고 눈 마주친 분 저는 설마 나 이랬습니다. 그럼에도 너무나 좋습니다.
95,수정결과,F,1181959,1191125,저하고 눈 마주친 분 저는 설마 나 이랬습니다. 그럼에도 너무나 좋습니다.
96,인식결과,6,1191125,1199415,이곳 남태령이 이런 말씀드리기는 좀 그렇습니다만 갑자기 고향 같은 느낌이 들었습니다.
96,수정결과,F,1191125,1199415,이곳 남태령이 이런 말씀드리기는 좀 그렇습니다만 갑자기 고향 같은 느낌이 들었습니다.
97,인식결과,6,1199415,1207905,12월 3일 계엄이 선포되고 저희들이 12월 21일에
97,수정결과,F,1199415,1207905,12월 3일 계엄이 선포되고 저희들이 12월 21일에
98,인식결과,6,1207905,1215514,올라올 수밖에 없는 전국이었죠. 탄핵을 했지만
98,수정결과,F,1207905,1215514,올라올 수밖에 없는 정국이었죠. 탄핵을 했지만
99,인식결과,6,1215514,1220514,파면까지 가는 길고 긴 길일 거라고 생각을 했지만
99,수정결과,F,1215514,1220514,파면까지 가는 길고 긴 길일 거라고 생각을 했지만
100,인식결과,6,1220514,1229069,이렇게 1년 12달에서 4개월에 접어들고 있습니다. 4월 3일이면 4개월이죠.
100,수정결과,F,1220514,1229069,이렇게 1년 12달에서 4개월에 접어들고 있습니다. 4월 3일이면 4개월이죠.
101,인식결과,6,1229069,1236489,1년 12달을 3개월을 한 계절로 보죠. 그러면 12월 1월 2월
101,수정결과,F,1229069,1236489,1년 12달을 3개월을 한 계절로 보죠. 그러면 12월 1월 2월
102,인식결과,6,1236489,1246520,엄동설언의 그 추위를 우리가 견디면서 윤석열의 탄핵을 위해서 이렇게 국민들이 정말
102,수정결과,F,1236489,1246520,엄동설한의 그 추위를 우리가 견디면서 윤석열의 탄핵을 위해서 이렇게 국민들이 정말
103,인식결과,6,1246520,1252405,내란의 밤을 불면의 밤을 겪어가며 추위를 견뎌가며
103,수정결과,F,1246520,1252405,내란의 밤을 불면의 밤을 겪어가며 추위를 견뎌가며
104,인식결과,6,1252405,1257035,각자의 삶을 일상을 내려놓고
104,수정결과,F,1252405,1257035,각자의 삶을 일상을 내려놓고
105,인식결과,6,1257035,1266595,정말 하루도 쉬지 않고 윤석열의 파면을 위해 달려왔던 길인 것 같습니다. 그러나 우리가 갈 길은 윤석열
105,수정결과,F,1257035,1266595,정말 하루도 쉬지 않고 윤석열의 파면을 위해 달려왔던 길인 것 같습니다. 그러나 우리가 갈 길은 윤석열
106,인식결과,6,1266595,1276190,하루빨리 파면시키고 그다음에 뭐였습니까? 우리가 바라는 새로운 정권 만들고
106,수정결과,F,1266595,1276190,하루빨리 파면시키고 그다음에 뭐였습니까? 우리가 바라는 새로운 정권 만들고
107,인식결과,6,1276190,1287710,그리고 우리가 만든 정권 하에서 함께 우리가 꿈꾸는 세상 새로운 세상 새로운 사회 사회 대개혁을
107,수정결과,F,1276190,1287710,그리고 우리가 만든 정권 하에서 함께 우리가 꿈꾸는 세상 새로운 세상 새로운 사회 사회 대개혁을
108,인식결과,6,1287710,1293240,만들어 가겠노라고 우리 힘으로 만들어 가겠노라고 수많은
